Date,Region,Product_Category,Sales_Rep,Units_Sold,Revenue,Profit,Customer_Satisfaction
2023-01-01,North,Electronics,John Doe,150,4500.00,1200.00,4.5
2023-01-02,South,Apparel,Jane Smith,85,1700.00,500.00,4.2
2023-01-03,East,Home Goods,Bob Johnson,45,2250.00,600.00,4.8
2023-01-04,West,Electronics,Alice Brown,200,6000.00,1800.00,4.9
2023-01-05,North,Apparel,John Doe,110,2200.00,660.00,4.1
2023-01-06,South,Home Goods,Jane Smith,60,3000.00,900.00,4.6
2023-01-07,East,Electronics,Bob Johnson,120,3600.00,1080.00,4.4
2023-01-08,West,Apparel,Alice Brown,90,1800.00,540.00,4.7
2023-01-09,North,Home Goods,John Doe,75,3750.00,1125.00,3.9
2023-01-10,South,Electronics,Jane Smith,180,5400.00,1620.00,4.8
2023-01-11,East,Apparel,Bob Johnson,105,2100.00,630.00,4.3
2023-01-12,West,Home Goods,Alice Brown,50,2500.00,750.00,4.5
2023-01-13,North,Electronics,John Doe,160,4800.00,1440.00,4.6
2023-01-14,South,Apparel,Jane Smith,95,1900.00,570.00,4.4
2023-01-15,East,Home Goods,Bob Johnson,65,3250.00,975.00,4.7
2023-01-16,West,Electronics,Alice Brown,190,5700.00,1710.00,4.8
2023-01-17,North,Apparel,John Doe,115,2300.00,690.00,4.2
2023-01-18,South,Home Goods,Jane Smith,70,3500.00,1050.00,4.9
2023-01-19,East,Electronics,Bob Johnson,130,3900.00,1170.00,4.5
2023-01-20,West,Apparel,Alice Brown,100,2000.00,600.00,4.6
2023-01-21,North,Home Goods,John Doe,80,4000.00,1200.00,4.1
2023-01-22,South,Electronics,Jane Smith,170,5100.00,1530.00,4.7
2023-01-23,East,Apparel,Bob Johnson,110,2200.00,660.00,4.4
2023-01-24,West,Home Goods,Alice Brown,55,2750.00,825.00,4.8
2023-01-25,North,Electronics,John Doe,145,4350.00,1305.00,4.3
2023-01-26,South,Apparel,Jane Smith,90,1800.00,540.00,4.5
2023-01-27,East,Home Goods,Bob Johnson,60,3000.00,900.00,4.6
2023-01-28,West,Electronics,Alice Brown,185,5550.00,1665.00,4.9
2023-01-29,North,Apparel,John Doe,120,2400.00,720.00,4.0
2023-01-30,South,Home Goods,Jane Smith,75,3750.00,1125.00,4.8
